latitude,longitude,chain,tractnum,ntanum
40.77769,-73.97673,New York Sports Clubs,2161,100
40.75583,-73.98879,New York Sports Clubs,12,20
40.7062816,-74.0116317,New York Sports Clubs,1369,40
40.71175,-74.00885,New York Sports Clubs,1998,121
40.715088,-74.015587,New York Sports Clubs,1579,40
40.7465625305593,-73.980719,New York Sports Clubs,1293,82
40.763282,-73.970092,New York Sports Clubs,1007,76
40.7710456848145,-73.9550704956055,New York Sports Clubs,999,148
40.75343,-73.96986,New York Sports Clubs,1134,21
40.779541,-73.9549713,New York Sports Clubs,19,76
40.757194,-73.971267,New York Sports Clubs,6,21
40.7164599001408,-74.0099465847015,New York Sports Clubs,1998,121
40.7593841552734,-73.982063293457,New York Sports Clubs,745,20
40.72899,-74.00545,New York Sports Clubs,1999,105
40.71175,-74.00885,New York Sports Clubs,1998,121
40.75583,-73.98879,New York Sports Clubs,12,20
40.74449,-73.97587,New York Sports Clubs,1199,82
40.76038,-73.98519,New York Sports Clubs,745,20
40.7820206,-73.9506989,New York Sports Clubs,21,72
40.72763197124,-73.9959923923016,New York Sports Clubs,957,105
40.7400017,-73.9855728,New York Sports Clubs,2089,86
40.7523613,-73.9872437,New York Sports Clubs,743,20
40.7062816,-74.0116317,New York Sports Clubs,1369,40
40.7533989,-73.9771805,New York Sports Clubs,1006,21
40.8096485,-73.9517485,New York Sports Clubs,30,17
40.72234,-73.99957,New York Sports Clubs,1687,121
40.7340431,-74.0023575,New York Sports Clubs,1838,105
40.7411623,-74.0012874,New York Sports Clubs,945,104
40.73668,-73.9956,New York Sports Clubs,940,105
40.82315,-73.94204,New York Sports Clubs,1108,193
40.7455366,-73.998087,New York Sports Clubs,2084,104
40.7344280183315,-73.9883802831173,New York Sports Clubs,2086,86
40.7818183898926,-73.9805450439453,New York Sports Clubs,1477,99
40.77769,-73.97673,New York Sports Clubs,2161,100
40.7845765,-73.9799565,New York Sports Clubs,1475,99
40.77102,-73.98294,New York Sports Clubs,1072,100
40.7555313110352,-73.980827331543,New York Sports Clubs,4,20
40.79388,-73.97301,New York Sports Clubs,1319,99
40.7742409,-73.9894599,New York Sports Clubs,1995,100
40.80039,-73.9469,New York Sports Clubs,23,17
40.7240414146205,-73.9849967708295,New York Sports Clubs,3,124
40.7465625305593,-73.980719,New York Sports Clubs,1293,82
40.7818183898926,-73.9805450439453,New York Sports Clubs,1477,99
40.705314,-74.011993,Pret A Manger,1369,40
40.752416269277,-73.989272855325,Pret A Manger,743,20
40.7609762167794,-73.9823149865082,Pret A Manger,1027,20
40.760044,-73.972434,Pret A Manger,7,20
40.7543,-73.98179,Pret A Manger,4,20
40.7543,-73.98179,Pret A Manger,4,20
40.7585412257392,-73.9782229671441,Pret A Manger,8,20
40.752563,-73.987022,Pret A Manger,743,20
40.76256,-73.97778,Pret A Manger,8,20
40.754104,-73.988868,Pret A Manger,12,20
40.76256,-73.97778,Pret A Manger,8,20
40.7508087158203,-73.9735336303711,Pret A Manger,1133,21
40.7509490419435,-73.9804938071625,Pret A Manger,1429,82
40.752563,-73.987022,Pret A Manger,743,20
40.7508087158203,-73.9735336303711,Pret A Manger,1133,21
40.752416269277,-73.989272855325,Pret A Manger,743,20
40.7509207016378,-73.9766594824486,Pret A Manger,1120,82
40.758051706759,-73.96926929954,Pret A Manger,6,21
40.76256,-73.97778,Pret A Manger,8,20
40.7579714,-73.9814932,Pret A Manger,4,20
40.756965,-73.975898,Pret A Manger,1005,20
40.753925,-73.971473,Pret A Manger,1134,21
40.752416269277,-73.989272855325,Pret A Manger,743,20
40.7062187,-74.0124207,Pret A Manger,1369,40
40.752311,-73.985572,Pret A Manger,1702,20
40.7062339782715,-74.0124359130859,Pret A Manger,1369,40
40.746169764692,-73.982346800961,Pret A Manger,1294,20
40.73734,-73.99056,Pret A Manger,1544,104
40.75802,-73.96956,Pret A Manger,6,21
40.75408,-73.97349,Pret A Manger,1006,21
40.7524631917477,-73.989489376545,Pret A Manger,743,20
40.746169764692,-73.982346800961,Pret A Manger,1294,20
40.7070007,-74.0068588,Pret A Manger,850,40
40.7509490419435,-73.9804938071625,Pret A Manger,1429,82
40.753231,-73.9867783,Pret A Manger,12,20
40.73734,-73.99056,Pret A Manger,1544,104
40.756252,-73.98204,Pret A Manger,4,20
40.7579714,-73.9814932,Pret A Manger,4,20
40.7621501365543,-73.9862343102798,Pret A Manger,943,13
40.7334654,-73.9913507,Pret A Manger,794,105
40.741056,-73.9941616,Pret A Manger,2076,104
40.7583021,-73.9737259,Pret A Manger,7,20
40.7509490419435,-73.9804938071625,Pret A Manger,1429,82
40.7101784,-74.0100403,Pret A Manger,1765,40
40.749679,-73.983047,Pret A Manger,1429,82
40.7524075359106,-73.9752770215273,Pret A Manger,1006,21
40.7417297,-73.9907684,Pret A Manger,2075,104
40.7132873535156,-74.0101318359375,Pret A Manger,1998,121
40.73734,-73.99056,Pret A Manger,1544,104
40.748102,-73.993083,Pret A Manger,939,20
40.730090649215,-73.992283241662,Pret A Manger,1163,105
40.7275602221489,-74.0072221308947,Pret A Manger,1686,121
40.7589558,-73.9794642,Pret A Manger,8,20
40.7509207016378,-73.9766594824486,Pret A Manger,1120,82
